NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,74.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198807,julho 1988
1,Brasil,2,%,80.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198808,agosto 1988
1,Brasil,2,%,88.92,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198809,setembro 1988
1,Brasil,2,%,94.67,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198810,outubro 1988
1,Brasil,2,%,104.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198811,novembro 1988
1,Brasil,2,%,106.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198812,dezembro 1988
1,Brasil,2,%,126.39,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198901,janeiro 1989
1,Brasil,2,%,106.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198902,fevereiro 1989
1,Brasil,2,%,71.51,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198903,março 1989
1,Brasil,2,%,35.14,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198904,abril 1989
1,Brasil,2,%,36.45,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198905,maio 1989
1,Brasil,2,%,64.34,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198906,junho 1989
1,Brasil,2,%,93.79,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198907,julho 1989
1,Brasil,2,%,119.74,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198908,agosto 1989
1,Brasil,2,%,134.95,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198909,setembro 1989
1,Brasil,2,%,157.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198910,outubro 1989
1,Brasil,2,%,184.21,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198911,novembro 1989
1,Brasil,2,%,213.01,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198912,dezembro 1989
1,Brasil,2,%,275.22,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199001,janeiro 1990
1,Brasil,2,%,346.07,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199002,fevereiro 1990
1,Brasil,2,%,437.02,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199003,março 1990
1,Brasil,2,%,270.26,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199004,abril 1990
1,Brasil,2,%,126.69,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199005,maio 1990
1,Brasil,2,%,38.89,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199006,junho 1990
1,Brasil,2,%,35.77,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199007,julho 1990
1,Brasil,2,%,42.44,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199008,agosto 1990
1,Brasil,2,%,45.83,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199009,setembro 1990
1,Brasil,2,%,47.69,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199010,outubro 1990
1,Brasil,2,%,52.83,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199011,novembro 1990
1,Brasil,2,%,58.22,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199012,dezembro 1990
1,Brasil,2,%,67.06,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199101,janeiro 1991
