NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,17.92,1,Brasil,63,IPCA - Variação mensal,198905,maio 1989
1,Brasil,2,%,28.65,1,Brasil,63,IPCA - Variação mensal,198906,junho 1989
1,Brasil,2,%,27.74,1,Brasil,63,IPCA - Variação mensal,198907,julho 1989
1,Brasil,2,%,33.71,1,Brasil,63,IPCA - Variação mensal,198908,agosto 1989
1,Brasil,2,%,37.56,1,Brasil,63,IPCA - Variação mensal,198909,setembro 1989
1,Brasil,2,%,39.77,1,Brasil,63,IPCA - Variação mensal,198910,outubro 1989
1,Brasil,2,%,47.82,1,Brasil,63,IPCA - Variação mensal,198911,novembro 1989
1,Brasil,2,%,51.50,1,Brasil,63,IPCA - Variação mensal,198912,dezembro 1989
1,Brasil,2,%,67.55,1,Brasil,63,IPCA - Variação mensal,199001,janeiro 1990
1,Brasil,2,%,75.73,1,Brasil,63,IPCA - Variação mensal,199002,fevereiro 1990
1,Brasil,2,%,82.39,1,Brasil,63,IPCA - Variação mensal,199003,março 1990
1,Brasil,2,%,15.52,1,Brasil,63,IPCA - Variação mensal,199004,abril 1990
1,Brasil,2,%,7.59,1,Brasil,63,IPCA - Variação mensal,199005,maio 1990
1,Brasil,2,%,11.75,1,Brasil,63,IPCA - Variação mensal,199006,junho 1990
1,Brasil,2,%,12.92,1,Brasil,63,IPCA - Variação mensal,199007,julho 1990
1,Brasil,2,%,12.88,1,Brasil,63,IPCA - Variação mensal,199008,agosto 1990
1,Brasil,2,%,14.41,1,Brasil,63,IPCA - Variação mensal,199009,setembro 1990
1,Brasil,2,%,14.36,1,Brasil,63,IPCA - Variação mensal,199010,outubro 1990
1,Brasil,2,%,16.81,1,Brasil,63,IPCA - Variação mensal,199011,novembro 1990
1,Brasil,2,%,18.44,1,Brasil,63,IPCA - Variação mensal,199012,dezembro 1990
1,Brasil,2,%,20.75,1,Brasil,63,IPCA - Variação mensal,199101,janeiro 1991
1,Brasil,2,%,20.72,1,Brasil,63,IPCA - Variação mensal,199102,fevereiro 1991
1,Brasil,2,%,11.92,1,Brasil,63,IPCA - Variação mensal,199103,março 1991
1,Brasil,2,%,4.99,1,Brasil,63,IPCA - Variação mensal,199104,abril 1991
1,Brasil,2,%,7.43,1,Brasil,63,IPCA - Variação mensal,199105,maio 1991
1,Brasil,2,%,11.19,1,Brasil,63,IPCA - Variação mensal,199106,junho 1991
1,Brasil,2,%,12.41,1,Brasil,63,IPCA - Variação mensal,199107,julho 1991
1,Brasil,2,%,15.63,1,Brasil,63,IPCA - Variação mensal,199108,agosto 1991
1,Brasil,2,%,15.63,1,Brasil,63,IPCA - Variação mensal,199109,setembro 1991
1,Brasil,2,%,20.23,1,Brasil,63,IPCA - Variação mensal,199110,outubro 1991
1,Brasil,2,%,25.21,1,Brasil,63,IPCA - Variação mensal,199111,novembro 1991
1,Brasil,2,%,23.71,1,Brasil,63,IPCA - Variação mensal,199112,dezembro 1991
1,Brasil,2,%,25.94,1,Brasil,63,IPCA - Variação mensal,199201,janeiro 1992
1,Brasil,2,%,24.32,1,Brasil,63,IPCA - Variação mensal,199202,fevereiro 1992
1,Brasil,2,%,21.40,1,Brasil,63,IPCA - Variação mensal,199203,março 1992
1,Brasil,2,%,19.93,1,Brasil,63,IPCA - Variação mensal,199204,abril 1992
1,Brasil,2,%,24.86,1,Brasil,63,IPCA - Variação mensal,199205,maio 1992
1,Brasil,2,%,20.21,1,Brasil,63,IPCA - Variação mensal,199206,junho 1992
1,Brasil,2,%,21.83,1,Brasil,63,IPCA - Variação mensal,199207,julho 1992
1,Brasil,2,%,22.14,1,Brasil,63,IPCA - Variação mensal,199208,agosto 1992
1,Brasil,2,%,24.63,1,Brasil,63,IPCA - Variação mensal,199209,setembro 1992
1,Brasil,2,%,25.24,1,Brasil,63,IPCA - Variação mensal,199210,outubro 1992
1,Brasil,2,%,22.49,1,Brasil,63,IPCA - Variação mensal,199211,novembro 1992
1,Brasil,2,%,25.24,1,Brasil,63,IPCA - Variação mensal,199212,dezembro 1992
1,Brasil,2,%,30.35,1,Brasil,63,IPCA - Variação mensal,199301,janeiro 1993
1,Brasil,2,%,24.98,1,Brasil,63,IPCA - Variação mensal,199302,fevereiro 1993
1,Brasil,2,%,27.26,1,Brasil,63,IPCA - Variação mensal,199303,março 1993
1,Brasil,2,%,27.75,1,Brasil,63,IPCA - Variação mensal,199304,abril 1993
1,Brasil,2,%,27.69,1,Brasil,63,IPCA - Variação mensal,199305,maio 1993
1,Brasil,2,%,30.07,1,Brasil,63,IPCA - Variação mensal,199306,junho 1993
1,Brasil,2,%,30.72,1,Brasil,63,IPCA - Variação mensal,199307,julho 1993
1,Brasil,2,%,32.96,1,Brasil,63,IPCA - Variação mensal,199308,agosto 1993
1,Brasil,2,%,35.69,1,Brasil,63,IPCA - Variação mensal,199309,setembro 1993
1,Brasil,2,%,33.92,1,Brasil,63,IPCA - Variação mensal,199310,outubro 1993
1,Brasil,2,%,35.56,1,Brasil,63,IPCA - Variação mensal,199311,novembro 1993
1,Brasil,2,%,36.84,1,Brasil,63,IPCA - Variação mensal,199312,dezembro 1993
1,Brasil,2,%,41.31,1,Brasil,63,IPCA - Variação mensal,199401,janeiro 1994
1,Brasil,2,%,40.27,1,Brasil,63,IPCA - Variação mensal,199402,fevereiro 1994
1,Brasil,2,%,42.75,1,Brasil,63,IPCA - Variação mensal,199403,março 1994
1,Brasil,2,%,42.68,1,Brasil,63,IPCA - Variação mensal,199404,abril 1994
1,Brasil,2,%,44.03,1,Brasil,63,IPCA - Variação mensal,199405,maio 1994
1,Brasil,2,%,47.43,1,Brasil,63,IPCA - Variação mensal,199406,junho 1994
1,Brasil,2,%,6.84,1,Brasil,63,IPCA - Variação mensal,199407,julho 1994
1,Brasil,2,%,1.86,1,Brasil,63,IPCA - Variação mensal,199408,agosto 1994
