NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,916.46,1,Brasil,69,IPCA - Variação acumulada no ano,199412,dezembro 1994
1,Brasil,2,%,1.70,1,Brasil,69,IPCA - Variação acumulada no ano,199501,janeiro 1995
1,Brasil,2,%,2.74,1,Brasil,69,IPCA - Variação acumulada no ano,199502,fevereiro 1995
1,Brasil,2,%,4.33,1,Brasil,69,IPCA - Variação acumulada no ano,199503,março 1995
1,Brasil,2,%,6.87,1,Brasil,69,IPCA - Variação acumulada no ano,199504,abril 1995
1,Brasil,2,%,9.72,1,Brasil,69,IPCA - Variação acumulada no ano,199505,maio 1995
1,Brasil,2,%,12.20,1,Brasil,69,IPCA - Variação acumulada no ano,199506,junho 1995
1,Brasil,2,%,14.84,1,Brasil,69,IPCA - Variação acumulada no ano,199507,julho 1995
1,Brasil,2,%,15.98,1,Brasil,69,IPCA - Variação acumulada no ano,199508,agosto 1995
1,Brasil,2,%,17.13,1,Brasil,69,IPCA - Variação acumulada no ano,199509,setembro 1995
1,Brasil,2,%,18.78,1,Brasil,69,IPCA - Variação acumulada no ano,199510,outubro 1995
1,Brasil,2,%,20.53,1,Brasil,69,IPCA - Variação acumulada no ano,199511,novembro 1995
1,Brasil,2,%,22.41,1,Brasil,69,IPCA - Variação acumulada no ano,199512,dezembro 1995
1,Brasil,2,%,1.34,1,Brasil,69,IPCA - Variação acumulada no ano,199601,janeiro 1996
1,Brasil,2,%,2.38,1,Brasil,69,IPCA - Variação acumulada no ano,199602,fevereiro 1996
1,Brasil,2,%,2.74,1,Brasil,69,IPCA - Variação acumulada no ano,199603,março 1996
1,Brasil,2,%,4.04,1,Brasil,69,IPCA - Variação acumulada no ano,199604,abril 1996
1,Brasil,2,%,5.31,1,Brasil,69,IPCA - Variação acumulada no ano,199605,maio 1996
1,Brasil,2,%,6.56,1,Brasil,69,IPCA - Variação acumulada no ano,199606,junho 1996
1,Brasil,2,%,7.74,1,Brasil,69,IPCA - Variação acumulada no ano,199607,julho 1996
1,Brasil,2,%,8.22,1,Brasil,69,IPCA - Variação acumulada no ano,199608,agosto 1996
1,Brasil,2,%,8.38,1,Brasil,69,IPCA - Variação acumulada no ano,199609,setembro 1996
1,Brasil,2,%,8.70,1,Brasil,69,IPCA - Variação acumulada no ano,199610,outubro 1996
1,Brasil,2,%,9.05,1,Brasil,69,IPCA - Variação acumulada no ano,199611,novembro 1996
1,Brasil,2,%,9.56,1,Brasil,69,IPCA - Variação acumulada no ano,199612,dezembro 1996
1,Brasil,2,%,1.18,1,Brasil,69,IPCA - Variação acumulada no ano,199701,janeiro 1997
1,Brasil,2,%,1.69,1,Brasil,69,IPCA - Variação acumulada no ano,199702,fevereiro 1997
1,Brasil,2,%,2.21,1,Brasil,69,IPCA - Variação acumulada no ano,199703,março 1997
1,Brasil,2,%,3.10,1,Brasil,69,IPCA - Variação acumulada no ano,199704,abril 1997
1,Brasil,2,%,3.53,1,Brasil,69,IPCA - Variação acumulada no ano,199705,maio 1997
1,Brasil,2,%,4.09,1,Brasil,69,IPCA - Variação acumulada no ano,199706,junho 1997
1,Brasil,2,%,4.31,1,Brasil,69,IPCA - Variação acumulada no ano,199707,julho 1997
1,Brasil,2,%,4.29,1,Brasil,69,IPCA - Variação acumulada no ano,199708,agosto 1997
1,Brasil,2,%,4.36,1,Brasil,69,IPCA - Variação acumulada no ano,199709,setembro 1997
1,Brasil,2,%,4.60,1,Brasil,69,IPCA - Variação acumulada no ano,199710,outubro 1997
1,Brasil,2,%,4.77,1,Brasil,69,IPCA - Variação acumulada no ano,199711,novembro 1997
1,Brasil,2,%,5.22,1,Brasil,69,IPCA - Variação acumulada no ano,199712,dezembro 1997
1,Brasil,2,%,0.71,1,Brasil,69,IPCA - Variação acumulada no ano,199801,janeiro 1998
1,Brasil,2,%,1.17,1,Brasil,69,IPCA - Variação acumulada no ano,199802,fevereiro 1998
1,Brasil,2,%,1.52,1,Brasil,69,IPCA - Variação acumulada no ano,199803,março 1998
1,Brasil,2,%,1.76,1,Brasil,69,IPCA - Variação acumulada no ano,199804,abril 1998
1,Brasil,2,%,2.27,1,Brasil,69,IPCA - Variação acumulada no ano,199805,maio 1998
